index,date_time,open,high,low,close,buyer,seller,value,delta_type
441,2023-06-13 20:15:00,167.91,167.92,167.7,167.75,74610,92400,167010,buyer
442,2023-06-13 20:30:00,167.74,167.85,167.7,167.85,57120,67760,124880,buyer
443,2023-06-13 20:45:00,167.85,167.91,167.81,167.81,39030,54610,93640,buyer
444,2023-06-13 21:00:00,167.81,167.92,167.79,167.91,24080,45540,69620,buyer
445,2023-06-13 21:15:00,167.91,167.95,167.88,167.94,26780,50300,77080,buyer
446,2023-06-13 21:30:00,167.94,167.95,167.92,167.95,27630,71350,98980,buyer
447,2023-06-13 21:45:00,167.95,168.15,167.94,168.15,21540,215260,236800,buyer
448,2023-06-13 22:00:00,168.15,168.29,168.09,168.19,44240,254240,298480,buyer
449,2023-06-13 22:15:00,168.18,168.28,168.02,168.13,62010,123240,185250,buyer
450,2023-06-13 22:30:00,168.13,168.21,168.0,168.11,33530,141640,175170,buyer
451,2023-06-13 22:45:00,168.11,168.27,168.04,168.22,56870,124210,181080,buyer
452,2023-06-13 23:00:00,168.22,168.48,168.15,168.27,150080,494660,644740,buyer
453,2023-06-13 23:15:00,168.27,168.54,168.27,168.46,60260,332910,393170,buyer
454,2023-06-13 23:30:00,168.46,168.52,168.38,168.48,65920,235700,301620,buyer
455,2023-06-13 23:45:00,168.48,168.5,168.42,168.43,27910,41780,69690,buyer
456,2023-06-14 09:45:00,168.63,168.63,168.63,168.63,0,79340,79340,buyer
457,2023-06-14 10:00:00,168.63,169.38,168.63,168.81,587480,1536430,2123910,buyer
458,2023-06-14 10:15:00,168.8,169.04,168.57,168.98,261680,673490,935170,buyer
459,2023-06-14 10:30:00,168.96,169.1,168.6,168.8,277960,741940,1019900,buyer
460,2023-06-14 10:45:00,168.8,169.0,168.44,168.47,333700,584760,918460,buyer
461,2023-06-14 11:00:00,168.48,168.88,168.43,168.76,161950,429700,591650,buyer
462,2023-06-14 11:15:00,168.7,168.99,168.6,168.69,155970,463160,619130,buyer
463,2023-06-14 11:30:00,168.7,168.7,167.6,167.94,389740,1056300,1446040,buyer
464,2023-06-14 11:45:00,167.98,168.0,167.78,167.84,97480,287320,384800,buyer
465,2023-06-14 12:00:00,167.84,167.92,167.3,167.85,181650,512090,693740,buyer
466,2023-06-14 12:15:00,167.83,168.12,167.7,168.05,83620,268150,351770,buyer
467,2023-06-14 12:30:00,168.01,168.01,167.9,167.94,91240,110460,201700,buyer
468,2023-06-14 12:45:00,167.94,167.97,167.5,167.8,112260,244250,356510,buyer
469,2023-06-14 13:00:00,167.81,167.81,167.01,167.19,394110,558200,952310,buyer
470,2023-06-14 13:15:00,167.19,167.6,167.08,167.42,96010,317780,413790,buyer
471,2023-06-14 13:30:00,167.42,167.6,167.11,167.29,114070,238940,353010,buyer
472,2023-06-14 13:45:00,167.29,167.55,167.16,167.41,85870,254030,339900,buyer
473,2023-06-14 14:00:00,167.41,167.65,167.41,167.57,142280,188190,330470,buyer
474,2023-06-14 14:15:00,167.57,167.67,167.53,167.65,73820,203430,277250,buyer
475,2023-06-14 14:30:00,167.67,167.8,167.57,167.59,107730,207340,315070,buyer
476,2023-06-14 14:45:00,167.57,167.58,167.21,167.41,97290,345080,442370,buyer
477,2023-06-14 15:00:00,167.41,167.57,167.26,167.56,54870,137440,192310,buyer
478,2023-06-14 15:15:00,167.52,167.6,167.32,167.6,55480,173780,229260,buyer
479,2023-06-14 15:30:00,167.59,167.81,167.59,167.75,72860,195030,267890,buyer
480,2023-06-14 15:45:00,167.7,167.81,167.66,167.77,51380,115320,166700,buyer
481,2023-06-14 16:00:00,167.71,167.89,167.46,167.89,68480,368580,437060,buyer
482,2023-06-14 16:15:00,167.89,168.0,167.86,167.9,107520,340860,448380,buyer
483,2023-06-14 16:30:00,167.9,167.98,167.88,167.94,89170,111130,200300,buyer
484,2023-06-14 16:45:00,167.93,167.94,167.7,167.74,81400,119770,201170,buyer
485,2023-06-14 17:00:00,167.74,167.89,167.72,167.89,55120,176150,231270,buyer
486,2023-06-14 17:15:00,167.89,167.89,167.71,167.83,48630,87660,136290,buyer
487,2023-06-14 17:30:00,167.79,167.87,167.55,167.74,74530,195290,269820,buyer
488,2023-06-14 17:45:00,167.74,167.89,167.74,167.88,48490,125140,173630,buyer
489,2023-06-14 18:00:00,167.85,167.95,167.85,167.87,46730,127300,174030,buyer
490,2023-06-14 18:15:00,167.86,167.95,167.83,167.85,36560,88300,124860,buyer
491,2023-06-14 18:30:00,167.86,167.95,167.75,167.81,35260,113340,148600,buyer
492,2023-06-14 18:45:00,167.5,167.5,167.5,167.5,153570,0,153570,seller
493,2023-06-14 19:00:00,167.84,168.14,167.5,167.65,68850,159370,228220,buyer
494,2023-06-14 19:15:00,167.63,167.7,167.6,167.64,59580,115310,174890,buyer
495,2023-06-14 19:30:00,167.66,167.69,167.53,167.59,62230,98880,161110,buyer
496,2023-06-14 19:45:00,167.6,167.64,167.43,167.48,35530,53360,88890,buyer
497,2023-06-14 20:00:00,167.47,167.85,167.47,167.83,12090,125610,137700,buyer
498,2023-06-14 20:15:00,167.74,167.92,167.73,167.86,20840,73460,94300,buyer
499,2023-06-14 20:30:00,167.85,167.85,167.7,167.72,26740,34840,61580,buyer
500,2023-06-14 20:45:00,167.72,167.94,167.71,167.93,15200,50770,65970,buyer
501,2023-06-14 21:00:00,167.93,167.93,167.83,167.86,12930,15980,28910,buyer
502,2023-06-14 21:15:00,167.86,167.86,167.81,167.85,35650,17870,53520,seller
503,2023-06-14 21:30:00,167.85,167.85,167.73,167.73,34300,51650,85950,buyer
504,2023-06-14 21:45:00,167.74,167.85,167.7,167.8,27770,38050,65820,buyer
505,2023-06-14 22:00:00,167.81,167.88,167.8,167.84,30710,67790,98500,buyer
506,2023-06-14 22:15:00,167.82,167.96,167.82,167.9,19740,92570,112310,buyer
507,2023-06-14 22:30:00,167.9,167.97,167.8,167.85,18220,53590,71810,buyer
508,2023-06-14 22:45:00,167.85,167.89,167.8,167.85,17150,27680,44830,buyer
509,2023-06-14 23:00:00,167.88,167.88,167.81,167.86,30700,20770,51470,seller
510,2023-06-14 23:15:00,167.88,168.1,167.88,168.0,40930,217920,258850,buyer
511,2023-06-14 23:30:00,167.98,168.02,167.82,167.93,26820,86980,113800,buyer
512,2023-06-14 23:45:00,167.88,168.0,167.82,167.88,15770,57170,72940,buyer
513,2023-06-15 09:45:00,168.0,168.0,168.0,168.0,0,17170,17170,buyer
514,2023-06-15 10:00:00,168.04,168.39,166.67,167.18,357630,1235830,1593460,buyer
515,2023-06-15 10:15:00,167.18,167.34,167.01,167.27,148620,434940,583560,buyer
516,2023-06-15 10:30:00,167.26,167.3,167.03,167.08,156500,509240,665740,buyer
517,2023-06-15 10:45:00,167.08,167.2,167.03,167.2,103840,466760,570600,buyer
518,2023-06-15 11:00:00,167.14,167.25,167.1,167.22,119300,347860,467160,buyer
519,2023-06-15 11:15:00,167.22,167.25,167.05,167.2,159740,327270,487010,buyer
520,2023-06-15 11:30:00,167.17,167.19,167.0,167.01,141970,175100,317070,buyer
521,2023-06-15 11:45:00,167.01,167.07,166.66,167.03,139540,818950,958490,buyer
522,2023-06-15 12:00:00,167.0,167.2,166.98,167.14,47980,344680,392660,buyer
523,2023-06-15 12:15:00,167.14,167.2,167.01,167.08,97490,214420,311910,buyer
524,2023-06-15 12:30:00,167.08,167.15,167.01,167.14,50580,258850,309430,buyer
525,2023-06-15 12:45:00,167.14,167.2,167.07,167.13,63440,226570,290010,buyer
526,2023-06-15 13:00:00,167.13,167.6,167.12,167.58,70740,761940,832680,buyer
527,2023-06-15 13:15:00,167.58,167.69,167.42,167.56,114220,341980,456200,buyer
528,2023-06-15 13:30:00,167.57,167.82,167.54,167.69,129500,532390,661890,buyer
529,2023-06-15 13:45:00,167.67,167.74,167.51,167.57,82940,285550,368490,buyer
530,2023-06-15 14:00:00,167.6,167.7,167.44,167.63,56620,204240,260860,buyer
531,2023-06-15 14:15:00,167.61,167.75,167.5,167.75,107920,257420,365340,buyer
532,2023-06-15 14:30:00,167.75,168.06,167.69,168.0,112350,886110,998460,buyer
533,2023-06-15 14:45:00,168.0,169.16,168.0,169.16,335380,2449580,2784960,buyer
534,2023-06-15 15:00:00,169.15,170.35,169.15,169.9,838790,5087660,5926450,buyer
535,2023-06-15 15:15:00,169.89,170.87,169.89,170.52,599580,2880780,3480360,buyer
536,2023-06-15 15:30:00,170.5,171.31,170.12,171.0,659930,3162070,3822000,buyer
537,2023-06-15 15:45:00,170.99,171.8,170.98,171.47,595350,3352380,3947730,buyer
538,2023-06-15 16:00:00,171.47,171.5,170.54,170.64,831430,2396990,3228420,buyer
539,2023-06-15 16:15:00,170.66,171.2,170.59,170.81,312640,1101950,1414590,buyer
540,2023-06-15 16:30:00,170.81,171.2,170.76,170.81,235280,569140,804420,buyer
541,2023-06-15 16:45:00,170.82,170.98,170.7,170.97,108720,240060,348780,buyer
542,2023-06-15 17:00:00,170.95,171.38,170.95,171.35,79460,678550,758010,buyer
543,2023-06-15 17:15:00,171.33,171.39,171.0,171.08,209440,468890,678330,buyer
544,2023-06-15 17:30:00,171.1,171.31,171.0,171.1,115200,322510,437710,buyer
545,2023-06-15 17:45:00,171.1,171.16,170.8,170.99,142040,301370,443410,buyer
546,2023-06-15 18:00:00,170.98,171.1,170.8,170.89,114100,297770,411870,buyer
547,2023-06-15 18:15:00,170.84,170.95,170.65,170.67,176630,241370,418000,buyer
548,2023-06-15 18:30:00,170.67,170.86,170.65,170.74,79060,198900,277960,buyer
549,2023-06-15 18:45:00,171.0,171.0,171.0,171.0,0,217020,217020,buyer
550,2023-06-15 19:00:00,170.99,170.99,170.2,170.49,121620,368540,490160,buyer
551,2023-06-15 19:15:00,170.51,170.97,170.45,170.83,78230,257700,335930,buyer
552,2023-06-15 19:30:00,170.81,170.85,170.5,170.5,91840,100590,192430,buyer
553,2023-06-15 19:45:00,170.54,170.7,170.5,170.7,69080,105060,174140,buyer
554,2023-06-15 20:00:00,170.69,170.72,170.62,170.7,41220,46310,87530,buyer
555,2023-06-15 20:15:00,170.69,171.0,170.69,170.85,39840,214640,254480,buyer
556,2023-06-15 20:30:00,170.88,171.0,170.82,170.88,23360,130410,153770,buyer
